time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-24 00:00:00+00:00,26,5,361,29
2024-06-25 00:00:00+00:00,142,34,866,47
2024-06-26 00:00:00+00:00,134,18,415,33
2024-06-27 00:00:00+00:00,139,19,446,33
2024-06-28 00:00:00+00:00,100,19,493,41
2024-06-29 00:00:00+00:00,46,9,195,12
2024-06-30 00:00:00+00:00,4,2,42,14
2024-07-01 00:00:00+00:00,54,11,225,37
2024-07-02 00:00:00+00:00,56,14,372,31
2024-07-03 00:00:00+00:00,95,14,318,37
2024-07-04 00:00:00+00:00,200,20,402,27
2024-07-05 00:00:00+00:00,24,6,196,25
2024-07-06 00:00:00+00:00,1,1,38,12
2024-07-07 00:00:00+00:00,1,1,82,16
2024-07-08 00:00:00+00:00,17,4,197,29
2024-07-09 00:00:00+00:00,2,1,188,30
2024-07-10 00:00:00+00:00,34,10,174,36
2024-07-11 00:00:00+00:00,47,16,313,34
2024-07-12 00:00:00+00:00,20,6,102,18
2024-07-13 00:00:00+00:00,49,5,97,14
2024-07-14 00:00:00+00:00,20,5,36,17
2024-07-15 00:00:00+00:00,14,8,157,24
2024-07-16 00:00:00+00:00,40,7,281,24
2024-07-17 00:00:00+00:00,54,10,297,23
2024-07-18 00:00:00+00:00,112,18,216,24
2024-07-19 00:00:00+00:00,95,15,293,34
2024-07-20 00:00:00+00:00,43,8,186,15
2024-07-21 00:00:00+00:00,18,5,102,13
2024-07-22 00:00:00+00:00,48,11,334,43
2024-07-23 00:00:00+00:00,111,15,402,35
2024-07-24 00:00:00+00:00,223,19,468,31
2024-07-25 00:00:00+00:00,45,7,357,27
2024-07-26 00:00:00+00:00,68,11,273,19
2024-07-27 00:00:00+00:00,15,4,95,16
2024-07-28 00:00:00+00:00,19,4,233,11
2024-07-29 00:00:00+00:00,99,10,369,19
2024-07-30 00:00:00+00:00,118,26,383,32
2024-07-31 00:00:00+00:00,96,12,338,19
2024-08-01 00:00:00+00:00,72,11,431,37
2024-08-02 00:00:00+00:00,12,4,106,16
2024-08-03 00:00:00+00:00,2,1,74,12
2024-08-04 00:00:00+00:00,7,3,66,10
2024-08-05 00:00:00+00:00,24,6,67,20
2024-08-06 00:00:00+00:00,11,4,218,28
2024-08-07 00:00:00+00:00,21,5,156,26
2024-08-08 00:00:00+00:00,73,12,212,25
2024-08-09 00:00:00+00:00,4,1,148,19
2024-08-10 00:00:00+00:00,2,1,41,6
2024-08-11 00:00:00+00:00,34,9,137,11
2024-08-12 00:00:00+00:00,64,10,195,26
2024-08-13 00:00:00+00:00,81,15,288,30
2024-08-14 00:00:00+00:00,123,15,307,30
2024-08-15 00:00:00+00:00,161,16,412,37
2024-08-16 00:00:00+00:00,153,26,382,32
2024-08-17 00:00:00+00:00,170,18,334,18
2024-08-18 00:00:00+00:00,59,9,190,17
2024-08-19 00:00:00+00:00,94,17,443,29
2024-08-20 00:00:00+00:00,28,6,304,22
